Pooling Layers,Max RF,Highest Internal Layer Parameters,Conv Layers,RF25 Layer Name,Family,Origin,Architecture,MAX RF,Attention Layers,Parameters,Recurrent Layers,Model,Layers,Crop Percentage,Dense Layers,Output Features,RF25 Layer Number,Bottlenecks,Last Layer Parameters,First Layer Parameters,Lowest Internal Layer Parameters,Training Dataset,Residual Blocks,Normalization Layers,Has Convolutional Layers,Has Residual Blocks,Has Dense Layers,Has Bottlenecks,Has Recurrent Layers,Has Skip Connections,Has Attention Layers,Tokenized,Transformer,Has ReLU,Has GeLU,Other,Year Made,Learning Type,Primary Application,Key Distinguishing Feature,Pooling Type
0.0,,,49.0,,mobilenetv3,keras,,,0.0,5.507432,0.0,MobilenetV3large,27.3,,0.0,1000,,0.0,,,,ImageNet-1K,10.0,46.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2019.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Hardware-aware Network Design,"Average, Spatial Pyramid"
0.0,,,43.0,,mobilenetv3,keras,,,0.0,2.554968,0.0,MobilenetV3small,23.9,,0.0,1000,,0.0,,,,ImageNet-1K,6.0,34.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2019.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Hardware-aware Network Design,"Average, Spatial Pyramid"
0.0,,,36.0,,convnext,keras,,,0.0,350.196968,0.0,convnext_xlarge,29.7,,73.0,1000,,0.0,,,,ImageNet-21K,0.0,37.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,2022.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Transformer Design Principles in ConvNet,Average
0.0,,,65.0,,efficientnet,keras,,,0.0,5.330571,0.0,efficientnetb0,24.1,,1.0,1000,,0.0,,,,ImageNet-1K,9.0,49.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2019.0,Supervised,Image Classification,Compound Scaling Method,Average
0.0,,,92.0,,efficientnet,keras,,,0.0,7.856239,0.0,efficientnetb1,34.3,,1.0,1000,,0.0,,,,ImageNet-1K,16.0,69.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2019.0,Supervised,Image Classification,Compound Scaling Method,Average
0.0,,,92.0,,efficientnet,keras,,,0.0,9.177569,0.0,efficientnetb2,34.3,,1.0,1000,,0.0,,,,ImageNet-1K,16.0,69.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2019.0,Supervised,Image Classification,Compound Scaling Method,Average
0.0,,,104.0,,efficientnet,keras,,,0.0,12.320535,0.0,efficientnetb3,38.8,,1.0,1000,,0.0,,,,ImageNet-1K,19.0,78.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2019.0,Supervised,Image Classification,Compound Scaling Method,Average
0.0,,,128.0,,efficientnet,keras,,,0.0,19.466823,0.0,efficientnetb4,47.8,,1.0,1000,,0.0,,,,ImageNet-1K,25.0,96.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2019.0,Supervised,Image Classification,Compound Scaling Method,Average
0.0,,,155.0,,efficientnet,keras,,,0.0,30.562527,0.0,efficientnetb5,58.0,,1.0,1000,,0.0,,,,ImageNet-1K,32.0,116.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2019.0,Supervised,Image Classification,Compound Scaling Method,Average
0.0,,,179.0,,efficientnet,keras,,,0.0,43.265143,0.0,efficientnetb6,67.0,,1.0,1000,,0.0,,,,ImageNet-1K,38.0,134.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2019.0,Supervised,Image Classification,Compound Scaling Method,Average
